<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOLUME>;<AMOUNT>
PLZL;D;20251214;000000;2254.8;2259.2;2246.2;2252.8;68514;
PLZL;D;20251215;000000;2263.8;2295;2257.4;2294.2;902362;
PLZL;D;20251216;000000;2294.2;2314.2;2280.2;2312.4;815352;
PLZL;D;20251217;000000;2313.2;2315.8;2283.6;2310.2;648855;
PLZL;D;20251218;000000;2309.6;2326;2281;2294.4;1075269;
PLZL;D;20251219;000000;2294.4;2315;2281.6;2304.8;872779;
PLZL;D;20251222;000000;2294;2344.2;2266;2286.8;1655240;
PLZL;D;20251223;000000;2292.2;2346.4;2288;2328;1260862;
PLZL;D;20251224;000000;2330;2332;2305;2325.2;434717;
PLZL;D;20251225;000000;2326.2;2333.6;2307.4;2324.6;362715;
PLZL;D;20251226;000000;2328.6;2379;2324;2373.4;786780;
PLZL;D;20251227;000000;2376.6;2425.8;2376.4;2417.4;240874;
PLZL;D;20251228;000000;2417.4;2445;2417.4;2445;250512;
PLZL;D;20251229;000000;2452;2464;2346;2372;1554392;
PLZL;D;20251230;000000;2377;2408;2370;2398.4;708641;
PLZL;D;20260105;000000;2417.2;2443;2412;2438.8;435274;
PLZL;D;20260106;000000;2442;2457.8;2430.4;2442;334540;
PLZL;D;20260108;000000;2431.8;2439.8;2390.2;2408;406160;
PLZL;D;20260109;000000;2410;2428.6;2396;2416.4;278263;
PLZL;D;20260112;000000;2432;2580;2430;2547;2590494;
PLZL;D;20260113;000000;2548;2607.4;2527.2;2580;2377723;
PLZL;D;20260114;000000;2598.8;2629;2544.2;2593.2;1451136;
PLZL;D;20260115;000000;2565.8;2578;2539.2;2568.4;644303;
