TICKER;DATE;PRICE
NLMK;20130507;52.29
NLMK;20130508;51.4
NLMK;20130510;51.49
NLMK;20130513;51.57
NLMK;20130514;49.49
NLMK;20130515;47.76
NLMK;20130516;45.46
NLMK;20130517;45.99
NLMK;20130520;46.25
NLMK;20130521;48.4
NLMK;20130522;49.45
NLMK;20130523;46.74
NLMK;20130524;46.92
NLMK;20130527;46.97
NLMK;20130528;47.1
NLMK;20130529;45.75
NLMK;20130530;45.61
NLMK;20130531;44.7
NLMK;20130603;44.31
NLMK;20130604;44.54
NLMK;20130605;44.2
NLMK;20130606;43.6
NLMK;20130607;44.35
NLMK;20130610;42.82
NLMK;20130611;41.85
NLMK;20130613;41.5
NLMK;20130614;41.27
NLMK;20130617;41.6
NLMK;20130618;42.29
NLMK;20130619;43.22
NLMK;20130620;41.69
NLMK;20130621;41.79
NLMK;20130624;41.18
NLMK;20130625;42.11
NLMK;20130626;42.81
NLMK;20130627;42.79
NLMK;20130628;43.29
NLMK;20130701;44.61
NLMK;20130702;44.6
NLMK;20130703;43.99
NLMK;20130704;44.68
NLMK;20130705;44.47
NLMK;20130708;44.12
NLMK;20130709;44.37
NLMK;20130710;43.8
NLMK;20130711;45.74
NLMK;20130712;45.78
NLMK;20130715;46.29
NLMK;20130716;46.81
NLMK;20130717;47.47
NLMK;20130718;47.08
NLMK;20130719;47.93
NLMK;20130722;47.85
NLMK;20130723;48.68
NLMK;20130724;48.68
NLMK;20130725;47.21
NLMK;20130726;47.49
NLMK;20130729;48.3
NLMK;20130730;48.7
NLMK;20130731;47.84
NLMK;20130801;48.54
NLMK;20130802;48.41
NLMK;20130805;49.7
NLMK;20130806;48.2
NLMK;20130807;48.51
NLMK;20130808;49.72
NLMK;20130809;53.83
NLMK;20130812;54.36
NLMK;20130813;54.11
NLMK;20130814;54.1
NLMK;20130815;52.88
NLMK;20130816;53.14
NLMK;20130819;52.87
NLMK;20130820;51.53
NLMK;20130821;50.9
NLMK;20130822;52.66
NLMK;20130823;52.72
NLMK;20130826;52.54
NLMK;20130827;51.8
NLMK;20130828;51.57
NLMK;20130829;51.81
NLMK;20130830;53.48
NLMK;20130902;53.18
NLMK;20130903;52.79
NLMK;20130904;53.23
NLMK;20130905;55.18
NLMK;20130906;53.93
NLMK;20130909;55.19
NLMK;20130910;57.1
NLMK;20130911;56.01
NLMK;20130912;55.49
NLMK;20130913;54.83
NLMK;20130916;56.19
NLMK;20130917;56.03
NLMK;20130918;55.69
NLMK;20130919;56.42
NLMK;20130920;56.38
NLMK;20130923;55.57
NLMK;20130924;55.74
NLMK;20130925;55.88
NLMK;20130926;55.68
NLMK;20130927;54.04
NLMK;20130930;52.14
NLMK;20131001;52.84
NLMK;20131002;52.65
NLMK;20131003;51.67
NLMK;20131004;52.19
NLMK;20131007;52.65
NLMK;20131008;53.6
NLMK;20131009;53.9
NLMK;20131010;54.19
NLMK;20131011;54.06
NLMK;20131014;54.47
NLMK;20131015;56.89
NLMK;20131016;56.48
NLMK;20131017;56.27
NLMK;20131018;56.85
NLMK;20131021;56.84
NLMK;20131022;57.2
NLMK;20131023;55.99
NLMK;20131024;55.49
NLMK;20131025;54.83
NLMK;20131028;55.11
NLMK;20131029;55.04
NLMK;20131030;56.06
NLMK;20131031;54.96
NLMK;20131101;55.18
NLMK;20131105;55.05
NLMK;20131106;54.29
NLMK;20131107;54.89
NLMK;20131108;53.26
NLMK;20131111;53.19
NLMK;20131112;53.25
NLMK;20131113;50.25
NLMK;20131114;50.66
NLMK;20131115;50.89
NLMK;20131118;52.19
NLMK;20131119;52.25
NLMK;20131120;54.24
NLMK;20131121;53.32
NLMK;20131122;53.06
NLMK;20131125;54.5
NLMK;20131126;53.93
NLMK;20131127;53.58
NLMK;20131128;54.02
NLMK;20131129;53.75
NLMK;20131202;53.76
NLMK;20131203;52.08
NLMK;20131204;51.56
NLMK;20131205;51.58
NLMK;20131206;52.54
NLMK;20131209;52.75
NLMK;20131210;53.07
NLMK;20131211;52.93
NLMK;20131212;51.71
NLMK;20131213;52.5
NLMK;20131216;53.1
NLMK;20131217;53.69
NLMK;20131218;54.78
NLMK;20131219;55.32
NLMK;20131220;54.6
NLMK;20131223;54.21
NLMK;20131224;54.7
NLMK;20131225;54.82
NLMK;20131226;54.17
NLMK;20131227;54.38
NLMK;20131230;55.18
NLMK;20140106;53.26
NLMK;20140108;53.11
NLMK;20140109;54.35
NLMK;20140110;54.9
NLMK;20140113;55.04
NLMK;20140114;54.55
NLMK;20140115;54.98
NLMK;20140116;54.44
NLMK;20140117;54.8
NLMK;20140120;55.03
NLMK;20140121;56.01
NLMK;20140122;55.4
NLMK;20140123;55.77
NLMK;20140124;53.98
